czas,e_temperatura,temperatura
0,2368,2368
3.15733,1875.11,1877.55
6.31467,1638.15,1639.63
9.472,1488.43,1489.45
12.6293,1381.79,1382.54
15.7867,1300.34,1300.93
18.944,1235.23,1235.71
22.1013,1181.47,1181.87
25.2587,1135.99,1136.34
28.416,1096.8,1097.1
31.5733,1062.51,1062.77
34.7307,1032.14,1032.37
37.888,1004.97,1005.18
41.0453,980.451,980.642
44.2027,958.163,958.337
47.36,937.773,937.933
50.5173,919.015,919.162
53.6747,901.673,901.809
56.832,885.57,885.697
59.9893,870.559,870.677
63.1467,856.516,856.628
66.304,843.338,843.443
69.4613,830.936,831.034
72.6187,819.232,819.325
75.776,808.161,808.249
78.9333,797.665,797.748
82.0907,787.693,787.773
85.248,778.203,778.279
88.4053,769.154,769.226
91.5627,760.512,760.581
94.72,752.245,752.311
97.8773,744.327,744.39
101.035,736.731,736.792
104.192,729.437,729.496
107.349,722.423,722.479
110.507,715.672,715.726
113.664,709.165,709.218
116.821,702.89,702.94
119.979,696.83,696.879
123.136,690.975,691.022
126.293,685.311,685.356
129.451,679.828,679.873
132.608,674.517,674.56
135.765,669.368,669.41
138.923,664.373,664.413
142.08,659.524,659.563
145.237,654.813,654.851
148.395,650.234,650.271
151.552,645.78,645.816
154.709,641.446,641.481
157.867,637.226,637.26
161.024,633.115,633.148
164.181,629.108,629.14
167.339,625.201,625.232
170.496,621.388,621.419
173.653,617.668,617.698
176.811,614.034,614.064
179.968,610.485,610.514
183.125,607.016,607.044
186.283,603.625,603.653
189.44,600.309,600.336
192.597,597.064,597.09
195.755,593.888,593.914
198.912,590.779,590.804
202.069,587.734,587.758
205.227,584.75,584.774
208.384,581.826,581.85
211.541,578.96,578.984
214.699,576.15,576.173
217.856,573.393,573.416
221.013,570.689,570.71
224.171,568.034,568.056
227.328,565.429,565.45
230.485,562.87,562.891
233.643,560.357,560.378
236.8,557.889,557.909
239.957,555.463,555.483
243.115,553.079,553.099
246.272,550.736,550.755
249.429,548.432,548.45
252.587,546.165,546.184
255.744,543.936,543.954
258.901,541.743,541.761
262.059,539.585,539.602
265.216,537.46,537.477
268.373,535.369,535.386
271.531,533.31,533.327
274.688,531.282,531.299
277.845,529.285,529.301
281.003,527.317,527.333
284.16,525.379,525.394
287.317,523.468,523.484
290.475,521.585,521.601
293.632,519.729,519.744
296.789,517.899,517.914
299.947,516.095,516.109
303.104,514.315,514.329
306.261,512.56,512.574
309.419,510.828,510.842
312.576,509.12,509.133
315.733,507.434,507.448
318.891,505.77,505.784
322.048,504.128,504.141
325.205,502.507,502.52
328.363,500.907,500.92
331.52,499.327,499.339
334.677,497.766,497.779
337.835,496.225,496.238
340.992,494.703,494.715
344.149,493.199,493.212
347.307,491.714,491.726
350.464,490.246,490.258
353.621,488.796,488.807
356.779,487.362,487.374
359.936,485.946,485.957
363.093,484.545,484.557
366.251,483.161,483.172
369.408,481.792,481.803
372.565,480.439,480.45
375.723,479.1,479.111
378.88,477.777,477.788
382.037,476.468,476.479
385.195,475.173,475.184
388.352,473.892,473.903
391.509,472.625,472.636
394.667,471.372,471.382
397.824,470.131,470.141
400.981,468.904,468.914
404.139,467.689,467.699
407.296,466.487,466.497
410.453,465.297,465.307
413.611,464.119,464.128
416.768,462.953,462.962
419.925,461.798,461.808
423.083,460.655,460.665
426.24,459.523,459.533
429.397,458.403,458.412
432.555,457.293,457.302
435.712,456.193,456.202
438.869,455.105,455.114
442.027,454.026,454.035
445.184,452.958,452.967
448.341,451.9,451.908
451.499,450.851,450.86
454.656,449.812,449.821
457.813,448.783,448.791
460.971,447.763,447.771
464.128,446.752,446.761
467.285,445.751,445.759
470.443,444.758,444.766
473.6,443.774,443.782
476.757,442.799,442.807
479.915,441.832,441.84
483.072,440.873,440.881
486.229,439.923,439.931
489.387,438.981,438.989
492.544,438.047,438.055
495.701,437.121,437.129
498.859,436.203,436.21
502.016,435.292,435.3
505.173,434.389,434.397
508.331,433.494,433.501
511.488,432.605,432.612
514.645,431.724,431.731
517.803,430.85,430.857
520.96,429.983,429.99
524.117,429.123,429.13
527.275,428.27,428.277
530.432,427.424,427.431
533.589,426.584,426.591
536.747,425.751,425.758
539.904,424.924,424.931
543.061,424.104,424.111
546.219,423.29,423.297
549.376,422.482,422.489
552.533,421.681,421.687
555.691,420.885,420.891
558.848,420.095,420.102
562.005,419.312,419.318
565.163,418.534,418.54
568.32,417.761,417.768
571.477,416.995,417.001
574.635,416.234,416.24
577.792,415.479,415.485
580.949,414.729,414.735
584.107,413.984,413.99
587.264,413.245,413.251
590.421,412.511,412.517
593.579,411.782,411.788
596.736,411.058,411.064
599.893,410.34,410.345
603.051,409.626,409.632
606.208,408.917,408.923
609.365,408.213,408.219
612.523,407.514,407.52
615.68,406.82,406.826
618.837,406.131,406.136
621.995,405.446,405.451
625.152,404.766,404.771
628.309,404.09,404.095
631.467,403.419,403.424
634.624,402.752,402.757
637.781,402.089,402.095
640.939,401.431,401.437
644.096,400.778,400.783
647.253,400.128,400.133
650.411,399.483,399.488
653.568,398.841,398.847
656.725,398.204,398.209
659.883,397.571,397.576
663.04,396.942,396.947
666.197,396.317,396.322
669.355,395.696,395.701
672.512,395.079,395.084
675.669,394.465,394.47
678.827,393.855,393.86
681.984,393.249,393.254
685.141,392.647,392.652
688.299,392.049,392.054
691.456,391.454,391.459
694.613,390.863,390.867
697.771,390.275,390.28
700.928,389.691,389.695
704.085,389.11,389.114
707.243,388.532,388.537
710.4,387.959,387.963
713.557,387.388,387.393
716.715,386.821,386.825
719.872,386.257,386.262
723.029,385.696,385.701
726.187,385.139,385.144
729.344,384.585,384.589
732.501,384.034,384.038
735.659,383.486,383.491
738.816,382.941,382.946
741.973,382.4,382.404
745.131,381.861,381.865
748.288,381.326,381.33
751.445,380.793,380.797
754.603,380.263,380.268
757.76,379.737,379.741
760.917,379.213,379.217
764.075,378.692,378.696
767.232,378.174,378.178
770.389,377.659,377.663
773.547,377.146,377.151
776.704,376.637,376.641
779.861,376.13,376.134
783.019,375.626,375.63
786.176,375.124,375.128
789.333,374.625,374.629
792.491,374.129,374.133
795.648,373.635,373.64
798.805,373.144,373.149
801.963,372.656,372.66
805.12,372.17,372.174
808.277,371.687,371.691
811.435,371.206,371.21
814.592,370.728,370.732
