czas,e_temperatura,temperatura
622.784,403.31,405.281
625.152,402.809,404.771
627.52,402.31,404.264
629.888,401.814,403.759
632.256,401.32,403.257
634.624,400.829,402.757
636.992,400.34,402.26
639.36,399.853,401.765
641.728,399.369,401.273
644.096,398.887,400.783
646.464,398.408,400.295
648.832,397.93,399.81
651.2,397.455,399.327
653.568,396.982,398.847
655.936,396.512,398.368
658.304,396.044,397.892
660.672,395.578,397.419
663.04,395.114,396.947
665.408,394.652,396.478
667.776,394.193,396.011
670.144,393.735,395.546
672.512,393.28,395.084
674.88,392.827,394.623
677.248,392.376,394.165
679.616,391.927,393.709
681.984,391.48,393.254
684.352,391.035,392.802
686.72,390.592,392.352
689.088,390.151,391.905
691.456,389.712,391.459
693.824,389.275,391.015
696.192,388.84,390.573
698.56,388.407,390.133
700.928,387.976,389.695
703.296,387.546,389.259
705.664,387.119,388.825
708.032,386.694,388.393
710.4,386.27,387.963
712.768,385.848,387.535
715.136,385.428,387.109
717.504,385.01,386.684
719.872,384.594,386.262
722.24,384.18,385.841
724.608,383.767,385.422
726.976,383.356,385.005
729.344,382.947,384.589
731.712,382.539,384.176
734.08,382.134,383.764
736.448,381.73,383.354
738.816,381.328,382.946
741.184,380.927,382.539
743.552,380.528,382.134
745.92,380.131,381.731
748.288,379.735,381.33
750.656,379.341,380.93
753.024,378.949,380.532
755.392,378.559,380.136
757.76,378.17,379.741
760.128,377.782,379.348
762.496,377.396,378.956
764.864,377.012,378.566
767.232,376.629,378.178
769.6,376.248,377.791
771.968,375.868,377.406
774.336,375.49,377.023
776.704,375.114,376.641
779.072,374.739,376.26
781.44,374.365,375.881
783.808,373.993,375.504
786.176,373.622,375.128
788.544,373.253,374.754
790.912,372.885,374.381
793.28,372.519,374.009
795.648,372.154,373.64
798.016,371.791,373.271
800.384,371.429,372.904
802.752,371.068,372.538
805.12,370.709,372.174
807.488,370.352,371.811
809.856,369.995,371.45
812.224,369.64,371.09
814.592,369.286,370.732
816.96,368.934,370.374
819.328,368.583,370.019
821.696,368.234,369.664
824.064,367.885,369.311
826.432,367.538,368.959
828.8,367.193,368.609
831.168,366.848,368.26
833.536,366.505,367.912
835.904,366.163,367.566
838.272,365.823,367.221
840.64,365.483,366.877
843.008,365.145,366.534
845.376,364.809,366.193
847.744,364.473,365.853
850.112,364.139,365.514
852.48,363.806,365.177
854.848,363.474,364.84
857.216,363.143,364.505
859.584,362.814,364.172
