czas,e_temperatura,temperatura
0,2368,2368
2.368,2020.07,1963.3
4.736,1792.19,1742.61
7.104,1636.01,1596.38
9.472,1521.45,1489.45
11.84,1432.83,1406.41
14.208,1361.52,1339.26
16.576,1302.42,1283.33
18.944,1252.33,1235.71
21.312,1209.11,1194.46
23.68,1171.27,1158.21
26.048,1137.73,1126
28.416,1107.73,1097.1
30.784,1080.64,1070.95
33.152,1056.02,1047.13
35.52,1033.5,1025.3
37.888,1012.77,1005.18
40.256,993.616,986.552
42.624,975.828,969.233
44.992,959.247,953.069
47.36,943.738,937.933
49.728,929.183,923.714
52.096,915.486,910.32
54.464,902.562,897.671
56.832,890.337,885.697
59.2,878.748,874.337
61.568,867.74,863.538
63.936,857.263,853.254
66.304,847.274,843.443
68.672,837.734,834.068
71.04,828.61,825.096
73.408,819.87,816.499
75.776,811.488,808.249
78.144,803.438,800.322
80.512,795.698,792.698
82.88,788.248,785.356
85.248,781.07,778.279
87.616,774.146,771.45
89.984,767.46,764.855
92.352,761,758.479
94.72,754.752,752.311
97.088,748.704,746.339
99.456,742.846,740.552
101.824,737.166,734.941
104.192,731.657,729.496
106.56,726.308,724.208
108.928,721.112,719.071
111.296,716.062,714.076
113.664,711.151,709.218
116.032,706.371,704.489
118.4,701.717,699.883
120.768,697.184,695.396
123.136,692.765,691.022
125.504,688.457,686.755
127.872,684.253,682.592
130.24,680.151,678.529
132.608,676.145,674.56
134.976,672.232,670.683
137.344,668.407,666.893
139.712,664.669,663.187
142.08,661.012,659.563
144.448,657.435,656.016
146.816,653.934,652.545
149.184,650.506,649.146
151.552,647.149,645.816
153.92,643.861,642.554
156.288,640.638,639.357
158.656,637.478,636.222
161.024,634.381,633.148
163.392,631.342,630.133
165.76,628.361,627.174
168.128,625.435,624.27
170.496,622.563,621.419
172.864,619.743,618.62
175.232,616.974,615.87
177.6,614.253,613.168
179.968,611.58,610.514
182.336,608.953,607.904
184.704,606.37,605.339
187.072,603.83,602.817
189.44,601.333,600.336
191.808,598.876,597.895
194.176,596.459,595.493
196.544,594.081,593.13
198.912,591.74,590.804
201.28,589.435,588.514
203.648,587.166,586.259
206.016,584.932,584.038
208.384,582.731,581.85
210.752,580.563,579.695
213.12,578.426,577.571
215.488,576.321,575.478
217.856,574.247,573.416
220.224,572.201,571.382
222.592,570.185,569.377
224.96,568.197,567.4
227.328,566.236,565.45
229.696,564.302,563.526
232.064,562.394,561.629
234.432,560.511,559.756
236.8,558.654,557.909
239.168,556.821,556.085
241.536,555.012,554.286
243.904,553.226,552.509
246.272,551.463,550.755
248.64,549.722,549.023
251.008,548.003,547.312
253.376,546.305,545.623
255.744,544.628,543.954
258.112,542.971,542.306
260.48,541.335,540.677
262.848,539.718,539.068
265.216,538.12,537.477
267.584,536.541,535.906
269.952,534.98,534.352
272.32,533.437,532.817
274.688,531.912,531.299
277.056,530.404,529.798
279.424,528.913,528.313
281.792,527.439,526.846
284.16,525.981,525.394
286.528,524.539,523.959
288.896,523.113,522.539
291.264,521.702,521.134
293.632,520.306,519.744
296,518.925,518.369
298.368,517.559,517.008
300.736,516.206,515.662
303.104,514.868,514.329
305.472,513.544,513.011
307.84,512.233,511.705
310.208,510.935,510.413
312.576,509.651,509.133
314.944,508.379,507.867
317.312,507.12,506.613
319.68,505.873,505.371
322.048,504.639,504.141
324.416,503.416,502.924
326.784,502.206,501.717
329.152,501.006,500.523
331.52,499.818,499.339
333.888,498.642,498.167
336.256,497.476,497.006
338.624,496.321,495.855
340.992,495.177,494.715
343.36,494.043,493.586
345.728,492.92,492.467
348.096,491.806,491.357
350.464,490.703,490.258
352.832,489.61,489.168
355.2,488.526,488.089
357.568,487.452,487.018
359.936,486.387,485.957
362.304,485.331,484.905
364.672,484.285,483.862
367.04,483.247,482.828
369.408,482.218,481.803
371.776,481.198,480.787
374.144,480.187,479.779
376.512,479.184,478.779
378.88,478.189,477.788
381.248,477.203,476.805
383.616,476.225,475.829
385.984,475.254,474.862
388.352,474.292,473.903
390.72,473.337,472.951
393.088,472.39,472.007
395.456,471.45,471.071
397.824,470.518,470.141
400.192,469.593,469.22
402.56,468.676,468.305
404.928,467.765,467.397
407.296,466.862,466.497
409.664,465.965,465.603
412.032,465.076,464.716
414.4,464.193,463.836
416.768,463.316,462.962
419.136,462.447,462.095
421.504,461.584,461.235
423.872,460.727,460.381
426.24,459.876,459.533
428.608,459.032,458.691
430.976,458.194,457.855
433.344,457.362,457.026
435.712,456.536,456.202
438.08,455.716,455.385
440.448,454.902,454.573
442.816,454.094,453.767
