czas,e_temperatura,temperatura
0,2368,2368
4.736,1176.68,1742.61
9.472,1104.05,1489.45
14.208,1047.75,1339.26
18.944,1002.09,1235.71
23.68,963.887,1158.21
28.416,931.183,1097.1
33.152,902.696,1047.13
37.888,877.539,1005.18
42.624,855.071,969.233
47.36,834.817,937.933
52.096,816.415,910.32
56.832,799.582,885.697
61.568,784.096,863.538
66.304,769.775,843.443
71.04,756.471,825.096
75.776,744.064,808.249
80.512,732.451,792.698
85.248,721.547,778.279
89.984,711.277,764.855
94.72,701.579,752.311
99.456,692.4,740.552
104.192,683.692,729.496
108.928,675.413,719.071
113.664,667.529,709.218
118.4,660.006,699.883
123.136,652.817,691.022
127.872,645.935,682.592
132.608,639.34,674.56
137.344,633.009,666.893
142.08,626.926,659.563
146.816,621.073,652.545
151.552,615.436,645.816
156.288,610,639.357
161.024,604.755,633.148
165.76,599.687,627.174
170.496,594.787,621.419
175.232,590.045,615.87
179.968,585.452,610.514
184.704,581.001,605.339
189.44,576.684,600.336
194.176,572.494,595.493
198.912,568.424,590.804
203.648,564.468,586.259
208.384,560.622,581.85
213.12,556.879,577.571
217.856,553.236,573.416
222.592,549.686,569.377
227.328,546.227,565.45
232.064,542.854,561.629
236.8,539.564,557.909
241.536,536.353,554.286
246.272,533.217,550.755
251.008,530.154,547.312
255.744,527.161,543.954
260.48,524.235,540.677
265.216,521.374,537.477
269.952,518.574,534.352
274.688,515.834,531.299
279.424,513.152,528.313
284.16,510.525,525.394
288.896,507.951,522.539
293.632,505.429,519.744
298.368,502.956,517.008
303.104,500.532,514.329
307.84,498.153,511.705
312.576,495.82,509.133
317.312,493.53,506.613
322.048,491.283,504.141
326.784,489.076,501.717
331.52,486.908,499.339
336.256,484.778,497.006
340.992,482.686,494.715
345.728,480.629,492.467
350.464,478.607,490.258
355.2,476.619,488.089
359.936,474.664,485.957
364.672,472.741,483.862
369.408,470.848,481.803
374.144,468.986,479.779
378.88,467.153,477.788
383.616,465.349,475.829
388.352,463.572,473.903
393.088,461.822,472.007
397.824,460.099,470.141
402.56,458.401,468.305
407.296,456.728,466.497
412.032,455.079,464.716
416.768,453.454,462.962
421.504,451.853,461.235
426.24,450.273,459.533
430.976,448.716,457.855
435.712,447.18,456.202
440.448,445.665,454.573
445.184,444.17,452.967
449.92,442.695,451.383
454.656,441.24,449.821
459.392,439.804,448.28
464.128,438.387,446.761
468.864,436.987,445.261
473.6,435.606,443.782
478.336,434.241,442.322
483.072,432.894,440.881
487.808,431.564,439.459
492.544,430.249,438.055
497.28,428.951,436.669
502.016,427.668,435.3
506.752,426.401,433.948
511.488,425.148,432.612
516.224,423.911,431.293
520.96,422.687,429.99
525.696,421.478,428.703
530.432,420.282,427.431
535.168,419.1,426.174
539.904,417.931,424.931
544.64,416.775,423.703
549.376,415.632,422.489
554.112,414.501,421.288
558.848,413.383,420.102
563.584,412.276,418.928
568.32,411.182,417.768
573.056,410.099,416.62
577.792,409.027,415.485
582.528,407.967,414.362
587.264,406.917,413.251
592,405.878,412.152
596.736,404.85,411.064
601.472,403.832,409.988
606.208,402.825,408.923
610.944,401.827,407.869
615.68,400.839,406.826
620.416,399.861,405.793
625.152,398.893,404.771
629.888,397.933,403.759
634.624,396.983,402.757
639.36,396.042,401.765
644.096,395.11,400.783
648.832,394.187,399.81
653.568,393.272,398.847
658.304,392.366,397.892
663.04,391.468,396.947
667.776,390.578,396.011
672.512,389.696,395.084
677.248,388.822,394.165
681.984,387.956,393.254
686.72,387.098,392.352
691.456,386.247,391.459
696.192,385.404,390.573
700.928,384.568,389.695
705.664,383.74,388.825
710.4,382.918,387.963
715.136,382.103,387.109
719.872,381.296,386.262
724.608,380.495,385.422
729.344,379.701,384.589
734.08,378.913,383.764
738.816,378.132,382.946
743.552,377.358,382.134
748.288,376.589,381.33
753.024,375.827,380.532
757.76,375.071,379.741
762.496,374.322,378.956
767.232,373.578,378.178
771.968,372.84,377.406
776.704,372.108,376.641
781.44,371.381,375.881
786.176,370.661,375.128
790.912,369.945,374.381
795.648,369.236,373.64
800.384,368.532,372.904
805.12,367.833,372.174
809.856,367.139,371.45
814.592,366.451,370.732
819.328,365.767,370.019
824.064,365.089,369.311
828.8,364.416,368.609
833.536,363.748,367.912
838.272,363.085,367.221
843.008,362.426,366.534
847.744,361.773,365.853
852.48,361.124,365.177
857.216,360.479,364.505
861.952,359.839,363.839
866.688,359.204,363.177
871.424,358.573,362.521
876.16,357.947,361.869
880.896,357.325,361.221
885.632,356.707,360.578
890.368,356.094,359.94
895.104,355.485,359.307
899.84,354.88,358.677
904.576,354.279,358.052
909.312,353.682,357.432
914.048,353.089,356.816
918.784,352.5,356.204
923.52,351.915,355.596
928.256,351.334,354.992
932.992,350.757,354.392
937.728,350.183,353.797
942.464,349.614,353.205
947.2,349.048,352.617
951.936,348.485,352.033
956.672,347.926,351.453
961.408,347.371,350.877
966.144,346.82,350.305
970.88,346.271,349.736
975.616,345.727,349.171
980.352,345.185,348.61
985.088,344.647,348.052
989.824,344.113,347.498
994.56,343.582,346.947
999.296,343.054,346.4
1004.03,342.529,345.856
1008.77,342.007,345.316
1013.5,341.489,344.779
1018.24,340.974,344.245
1022.98,340.462,343.714
1027.71,339.953,343.187
1032.45,339.446,342.663
1037.18,338.943,342.142
1041.92,338.443,341.625
1046.66,337.946,341.11
1051.39,337.452,340.599
1056.13,336.961,340.091
1060.86,336.472,339.585
1065.6,335.987,339.083
1070.34,335.504,338.583
1075.07,335.024,338.087
1079.81,334.547,337.593
1084.54,334.072,337.103
1089.28,333.6,336.615
1094.02,333.131,336.13
1098.75,332.664,335.648
1103.49,332.2,335.168
1108.22,331.739,334.691
1112.96,331.28,334.217
1117.7,330.824,333.746
1122.43,330.37,333.277
1127.17,329.918,332.811
1131.9,329.469,332.347
1136.64,329.023,331.886
1141.38,328.579,331.428
1146.11,328.137,330.972
1150.85,327.698,330.519
1155.58,327.261,330.068
1160.32,326.827,329.619
1165.06,326.394,329.173
1169.79,325.964,328.73
1174.53,325.537,328.288
1179.26,325.111,327.85
1184,324.688,327.413
1188.74,324.267,326.979
1193.47,323.848,326.547
1198.21,323.431,326.117
1202.94,323.016,325.69
1207.68,322.604,325.264
1212.42,322.194,324.842
1217.15,321.785,324.421
1221.89,321.379,324.002
1226.62,320.975,323.586
1231.36,320.573,323.171
1236.1,320.173,322.759
1240.83,319.775,322.349
1245.57,319.378,321.941
1250.3,318.984,321.535
1255.04,318.592,321.131
1259.78,318.202,320.729
1264.51,317.813,320.329
1269.25,317.427,319.931
1273.98,317.042,319.535
1278.72,316.659,319.141
1283.46,316.278,318.749
1288.19,315.899,318.359
1292.93,315.522,317.971
1297.66,315.146,317.584
1302.4,314.773,317.2
1307.14,314.401,316.817
1311.87,314.03,316.437
1316.61,313.662,316.058
1321.34,313.295,315.68
1326.08,312.93,315.305
1330.82,312.567,314.931
1335.55,312.205,314.56
1340.29,311.845,314.19
1345.02,311.487,313.821
1349.76,311.13,313.455
1354.5,310.775,313.09
1359.23,310.422,312.726
1363.97,310.07,312.365
1368.7,309.72,312.005
1373.44,309.371,311.647
1378.18,309.024,311.29
1382.91,308.679,310.935
1387.65,308.335,310.582
1392.38,307.992,310.23
1397.12,307.651,309.88
1401.86,307.312,309.531
1406.59,306.974,309.184
1411.33,306.637,308.839
1416.06,306.302,308.495
1420.8,305.969,308.153
1425.54,305.637,307.812
1430.27,305.306,307.472
1435.01,304.977,307.134
1439.74,304.649,306.798
1444.48,304.323,306.463
1449.22,303.998,306.13
1453.95,303.674,305.798
1458.69,303.352,305.467
1463.42,303.031,305.138
1468.16,302.712,304.81
1472.9,302.394,304.484
1477.63,302.077,304.159
1482.37,301.761,303.835
1487.1,301.447,303.513
1491.84,301.134,303.192
1496.58,300.823,302.873
1501.31,300.513,302.555
1506.05,300.204,302.238
1510.78,299.896,301.922
1515.52,299.589,301.608
1520.26,299.284,301.295
1524.99,298.98,300.984
1529.73,298.677,300.673
1534.46,298.376,300.364
1539.2,298.076,300.057
1543.94,297.777,299.75
1548.67,297.479,299.445
1553.41,297.182,299.141
1558.14,296.886,298.838
1562.88,296.592,298.536
1567.62,296.299,298.236
1572.35,296.007,297.937
1577.09,295.716,297.639
1581.82,295.426,297.342
1586.56,295.138,297.047
1591.3,294.85,296.752
1596.03,294.564,296.459
1600.77,294.279,296.167
1605.5,293.994,295.876
1610.24,293.711,295.586
1614.98,293.429,295.298
1619.71,293.149,295.01
1624.45,292.869,294.724
1629.18,292.59,294.438
1633.92,292.312,294.154
1638.66,292.036,293.871
1643.39,291.76,293.589
1648.13,291.486,293.308
1652.86,291.212,293.028
1657.6,290.94,292.749
1662.34,290.668,292.472
1667.07,290.398,292.195
1671.81,290.128,291.919
1676.54,289.86,291.645
1681.28,289.592,291.371
1686.02,289.326,291.098
1690.75,289.06,290.827
1695.49,288.796,290.556
1700.22,288.532,290.287
1704.96,288.27,290.018
1709.7,288.008,289.751
1714.43,287.747,289.484
1719.17,287.488,289.219
1723.9,287.229,288.954
1728.64,286.971,288.69
1733.38,286.714,288.428
1738.11,286.458,288.166
1742.85,286.203,287.905
1747.58,285.949,287.645
1752.32,285.695,287.386
1757.06,285.443,287.128
1761.79,285.191,286.871
1766.53,284.941,286.615
1771.26,284.691,286.36
