Iteracja,x,f(x)
0,-1.450000,1.256113
1,-1.475000,0.338415
2,-1.487500,-0.123056
3,-1.481250,0.107894
4,-1.484375,-0.007528
5,-1.482812,0.050196
6,-1.483594,0.021337
7,-1.483984,0.006905
8,-1.484180,-0.000311
9,-1.484082,0.003297
10,-1.484131,0.001493
11,-1.484155,0.000591
12,-1.484167,0.000140
13,-1.484174,-0.000086
14,-1.484171,0.000027
15,-1.484172,-0.000029
16,-1.484171,-0.000001
17,-1.484171,0.000013
18,-1.484171,0.000006
19,-1.484171,0.000002
20,-1.484171,0.000001
21,-1.484171,-0.000000
22,-1.484171,0.000000
23,-1.484171,0.000000
24,-1.484171,-0.000000
25,-1.484171,0.000000
26,-1.484171,-0.000000
27,-1.484171,0.000000
28,-1.484171,0.000000
