czas,e_temperatura,temperatura
827.221,369.126,368.842
830.379,368.659,368.376
833.536,368.193,367.912
836.693,367.73,367.451
839.851,367.269,366.991
843.008,366.811,366.534
846.165,366.355,366.079
849.323,365.901,365.627
852.48,365.449,365.177
855.637,365,364.729
858.795,364.553,364.283
861.952,364.108,363.839
865.109,363.665,363.397
868.267,363.224,362.958
871.424,362.786,362.521
874.581,362.349,362.085
877.739,361.915,361.652
880.896,361.482,361.221
884.053,361.052,360.792
887.211,360.624,360.365
890.368,360.198,359.94
893.525,359.774,359.517
896.683,359.351,359.096
899.84,358.931,358.677
902.997,358.513,358.26
906.155,358.097,357.845
909.312,357.682,357.432
912.469,357.27,357.021
915.627,356.859,356.611
918.784,356.45,356.204
921.941,356.044,355.798
925.099,355.639,355.394
928.256,355.236,354.992
931.413,354.834,354.592
934.571,354.435,354.193
937.728,354.037,353.797
940.885,353.641,353.402
944.043,353.247,353.009
947.2,352.854,352.617
950.357,352.464,352.228
953.515,352.075,351.84
956.672,351.688,351.453
959.829,351.302,351.069
962.987,350.918,350.686
966.144,350.536,350.305
969.301,350.155,349.925
972.459,349.776,349.547
975.616,349.399,349.171
978.773,349.024,348.797
981.931,348.65,348.423
985.088,348.277,348.052
988.245,347.906,347.682
991.403,347.537,347.314
994.56,347.169,346.947
997.717,346.803,346.582
1000.87,346.439,346.218
1004.03,346.076,345.856
1007.19,345.714,345.495
1010.35,345.354,345.136
1013.5,344.995,344.779
1016.66,344.638,344.422
1019.82,344.283,344.068
1022.98,343.929,343.714
1026.13,343.576,343.363
1029.29,343.225,343.012
1032.45,342.875,342.663
1035.61,342.526,342.316
1038.76,342.179,341.97
1041.92,341.834,341.625
1045.08,341.49,341.282
1048.23,341.147,340.94
1051.39,340.805,340.599
1054.55,340.465,340.26
1057.71,340.127,339.922
1060.86,339.789,339.585
1064.02,339.453,339.25
1067.18,339.118,338.916
1070.34,338.785,338.583
1073.49,338.453,338.252
1076.65,338.122,337.922
1079.81,337.793,337.593
1082.97,337.464,337.266
1086.12,337.138,336.94
1089.28,336.812,336.615
1092.44,336.487,336.291
1095.59,336.164,335.969
1098.75,335.842,335.648
1101.91,335.522,335.328
1105.07,335.202,335.009
1108.22,334.884,334.691
1111.38,334.567,334.375
1114.54,334.251,334.06
1117.7,333.936,333.746
1120.85,333.623,333.433
