czas,e_temperatura,temperatura
0,2368,2368
3.15733,1573.79,1877.55
6.31467,1418.84,1639.63
9.472,1316.47,1489.45
12.6293,1240.61,1382.54
15.7867,1180.77,1300.93
18.944,1131.67,1235.71
22.1013,1090.24,1181.87
25.2587,1054.56,1136.34
28.416,1023.32,1097.1
31.5733,995.621,1062.77
34.7307,970.802,1032.37
37.888,948.367,1005.18
41.0453,927.934,980.642
44.2027,909.207,958.337
47.36,891.946,937.933
50.5173,875.959,919.162
53.6747,861.088,901.809
56.832,847.201,885.697
59.9893,834.189,870.677
63.1467,821.958,856.628
66.304,810.428,843.443
69.4613,799.532,831.034
72.6187,789.21,819.325
75.776,779.411,808.249
78.9333,770.09,797.748
82.0907,761.207,787.773
85.248,752.726,778.279
88.4053,744.617,769.226
91.5627,736.852,760.581
94.72,729.406,752.311
97.8773,722.256,744.39
101.035,715.383,736.792
104.192,708.767,729.496
107.349,702.393,722.479
110.507,696.245,715.726
113.664,690.31,709.218
116.821,684.574,702.94
119.979,679.027,696.879
123.136,673.657,691.022
126.293,668.455,685.356
129.451,663.412,679.873
132.608,658.519,674.56
135.765,653.769,669.41
138.923,649.155,664.413
142.08,644.67,659.563
145.237,640.307,654.851
148.395,636.061,650.271
151.552,631.927,645.816
154.709,627.899,641.481
157.867,623.973,637.26
161.024,620.144,633.148
164.181,616.408,629.14
167.339,612.761,625.232
170.496,609.2,621.419
173.653,605.721,617.698
176.811,602.321,614.064
179.968,598.997,610.514
183.125,595.745,607.044
186.283,592.563,603.653
189.44,589.449,600.336
192.597,586.4,597.09
195.755,583.413,593.914
198.912,580.487,590.804
202.069,577.619,587.758
205.227,574.807,584.774
208.384,572.05,581.85
211.541,569.345,578.984
214.699,566.691,576.173
217.856,564.086,573.416
221.013,561.529,570.71
224.171,559.017,568.056
227.328,556.551,565.45
230.485,554.127,562.891
233.643,551.746,560.378
236.8,549.405,557.909
239.957,547.104,555.483
243.115,544.841,553.099
246.272,542.615,550.755
249.429,540.425,548.45
252.587,538.271,546.184
255.744,536.15,543.954
258.901,534.063,541.761
262.059,532.008,539.602
265.216,529.985,537.477
268.373,527.992,535.386
271.531,526.029,533.327
274.688,524.095,531.299
277.845,522.189,529.301
281.003,520.311,527.333
284.16,518.46,525.394
287.317,516.635,523.484
290.475,514.835,521.601
293.632,513.061,519.744
296.789,511.311,517.914
299.947,509.584,516.109
303.104,507.881,514.329
306.261,506.2,512.574
309.419,504.542,510.842
312.576,502.905,509.133
315.733,501.29,507.448
318.891,499.694,505.784
322.048,498.12,504.141
325.205,496.565,502.52
328.363,495.029,500.92
331.52,493.512,499.339
334.677,492.014,497.779
337.835,490.534,496.238
340.992,489.071,494.715
344.149,487.626,493.212
347.307,486.198,491.726
350.464,484.786,490.258
353.621,483.391,488.807
356.779,482.012,487.374
359.936,480.649,485.957
363.093,479.301,484.557
366.251,477.968,483.172
369.408,476.649,481.803
372.565,475.346,480.45
375.723,474.056,479.111
378.88,472.78,477.788
382.037,471.518,476.479
385.195,470.27,475.184
388.352,469.034,473.903
391.509,467.812,472.636
394.667,466.602,471.382
397.824,465.405,470.141
400.981,464.22,468.914
404.139,463.047,467.699
407.296,461.886,466.497
410.453,460.736,465.307
413.611,459.598,464.128
416.768,458.471,462.962
419.925,457.355,461.808
423.083,456.25,460.665
426.24,455.155,459.533
429.397,454.071,458.412
432.555,452.997,457.302
435.712,451.934,456.202
438.869,450.88,455.114
442.027,449.836,454.035
445.184,448.802,452.967
448.341,447.777,451.908
451.499,446.762,450.86
454.656,445.755,449.821
457.813,444.758,448.791
460.971,443.77,447.771
464.128,442.79,446.761
467.285,441.819,445.759
470.443,440.857,444.766
473.6,439.903,443.782
476.757,438.957,442.807
479.915,438.019,441.84
483.072,437.089,440.881
486.229,436.167,439.931
489.387,435.253,438.989
492.544,434.347,438.055
495.701,433.448,437.129
498.859,432.556,436.21
502.016,431.672,435.3
505.173,430.795,434.397
508.331,429.925,433.501
511.488,429.062,432.612
514.645,428.206,431.731
