Iteracja,x,f(x)
0,-2.650000,0.500072
1,-2.625000,0.114979
2,-2.612500,-0.077028
3,-2.618750,0.018674
4,-2.615625,-0.029272
5,-2.617187,-0.005320
6,-2.617969,0.006672
7,-2.617578,0.000674
8,-2.617383,-0.002323
9,-2.617480,-0.000824
10,-2.617529,-0.000075
11,-2.617554,0.000300
12,-2.617542,0.000112
13,-2.617535,0.000019
14,-2.617532,-0.000028
15,-2.617534,-0.000005
16,-2.617535,0.000007
17,-2.617534,0.000001
18,-2.617534,-0.000002
19,-2.617534,-0.000000
20,-2.617534,0.000000
21,-2.617534,-0.000000
22,-2.617534,0.000000
23,-2.617534,0.000000
24,-2.617534,0.000000
25,-2.617534,0.000000
26,-2.617534,-0.000000
27,-2.617534,0.000000
28,-2.617534,-0.000000
29,-2.617534,0.000000
