czas,e_temperatura,temperatura
0,2368,2368
2.368,1962.7,1963.3
4.736,1742.21,1742.61
7.104,1596.09,1596.38
9.472,1489.23,1489.45
11.84,1406.24,1406.41
14.208,1339.11,1339.26
16.576,1283.21,1283.33
18.944,1235.61,1235.71
21.312,1194.37,1194.46
23.68,1158.13,1158.21
26.048,1125.93,1126
28.416,1097.03,1097.1
30.784,1070.89,1070.95
33.152,1047.08,1047.13
35.52,1025.25,1025.3
37.888,1005.13,1005.18
40.256,986.51,986.552
42.624,969.194,969.233
44.992,953.033,953.069
47.36,937.899,937.933
49.728,923.682,923.714
52.096,910.29,910.32
54.464,897.642,897.671
56.832,885.67,885.697
59.2,874.311,874.337
61.568,863.514,863.538
63.936,853.231,853.254
66.304,843.421,843.443
68.672,834.047,834.068
71.04,825.076,825.096
73.408,816.479,816.499
75.776,808.23,808.249
78.144,800.304,800.322
80.512,792.681,792.698
82.88,785.339,785.356
85.248,778.263,778.279
87.616,771.434,771.45
89.984,764.84,764.855
92.352,758.465,758.479
94.72,752.297,752.311
97.088,746.325,746.339
99.456,740.539,740.552
101.824,734.928,734.941
104.192,729.483,729.496
106.56,724.196,724.208
108.928,719.059,719.071
111.296,714.065,714.076
113.664,709.207,709.218
116.032,704.478,704.489
118.4,699.873,699.883
120.768,695.386,695.396
123.136,691.012,691.022
125.504,686.746,686.755
127.872,682.583,682.592
130.24,678.519,678.529
132.608,674.551,674.56
134.976,670.674,670.683
137.344,666.884,666.893
139.712,663.179,663.187
142.08,659.554,659.563
144.448,656.008,656.016
146.816,652.537,652.545
149.184,649.138,649.146
151.552,645.808,645.816
153.92,642.546,642.554
156.288,639.349,639.357
158.656,636.215,636.222
161.024,633.141,633.148
163.392,630.126,630.133
165.76,627.167,627.174
168.128,624.263,624.27
170.496,621.413,621.419
172.864,618.613,618.62
175.232,615.864,615.87
177.6,613.162,613.168
179.968,610.508,610.514
182.336,607.898,607.904
184.704,605.333,605.339
187.072,602.811,602.817
189.44,600.33,600.336
191.808,597.889,597.895
194.176,595.488,595.493
196.544,593.125,593.13
198.912,590.799,590.804
201.28,588.508,588.514
203.648,586.253,586.259
206.016,584.033,584.038
208.384,581.845,581.85
210.752,579.69,579.695
213.12,577.566,577.571
215.488,575.474,575.478
217.856,573.411,573.416
220.224,571.377,571.382
222.592,569.372,569.377
224.96,567.395,567.4
227.328,565.445,565.45
229.696,563.522,563.526
232.064,561.624,561.629
234.432,559.752,559.756
236.8,557.905,557.909
239.168,556.081,556.085
241.536,554.282,554.286
243.904,552.505,552.509
246.272,550.751,550.755
248.64,549.019,549.023
251.008,547.308,547.312
253.376,545.619,545.623
255.744,543.95,543.954
258.112,542.302,542.306
260.48,540.673,540.677
262.848,539.064,539.068
265.216,537.474,537.477
267.584,535.902,535.906
269.952,534.349,534.352
272.32,532.813,532.817
274.688,531.295,531.299
277.056,529.794,529.798
279.424,528.31,528.313
281.792,526.842,526.846
284.16,525.391,525.394
286.528,523.955,523.959
288.896,522.535,522.539
291.264,521.131,521.134
293.632,519.741,519.744
296,518.366,518.369
298.368,517.005,517.008
300.736,515.659,515.662
303.104,514.326,514.329
305.472,513.007,513.011
307.84,511.702,511.705
310.208,510.41,510.413
312.576,509.131,509.133
314.944,507.864,507.867
317.312,506.61,506.613
319.68,505.368,505.371
322.048,504.139,504.141
324.416,502.921,502.924
326.784,501.715,501.717
329.152,500.52,500.523
331.52,499.337,499.339
333.888,498.165,498.167
336.256,497.003,497.006
338.624,495.853,495.855
340.992,494.713,494.715
343.36,493.583,493.586
345.728,492.464,492.467
348.096,491.355,491.357
350.464,490.255,490.258
352.832,489.166,489.168
355.2,488.086,488.089
357.568,487.016,487.018
359.936,485.955,485.957
362.304,484.903,484.905
364.672,483.86,483.862
367.04,482.826,482.828
369.408,481.801,481.803
371.776,480.784,480.787
374.144,479.776,479.779
376.512,478.777,478.779
378.88,477.785,477.788
381.248,476.802,476.805
383.616,475.827,475.829
385.984,474.86,474.862
388.352,473.901,473.903
390.72,472.949,472.951
393.088,472.005,472.007
395.456,471.068,471.071
397.824,470.139,470.141
400.192,469.217,469.22
402.56,468.303,468.305
404.928,467.395,467.397
407.296,466.495,466.497
409.664,465.601,465.603
412.032,464.714,464.716
414.4,463.834,463.836
416.768,462.96,462.962
